"age","industry","title","context","salary","benefits","currency","currency.other","income_context","country","us_state","city","exp_total","exp_field","education","gender","race"
"35-44","insurance","IT TEAM LEAD","",88000,5000,NA,"","","UNITED STATES","New Hampshire","CONCORD","8 - 10 years",NA,"College degree","Man","White"
"35-44","computing or tech","SENIOR UI DEVELOPER","Software developer with focus on the front end.",65790,600,NA,"","There is usually an annual bonus, but it's not guaranteed, and the amount varies. £600 is typical. Everyone gets the same amount, irrespective of salary level or job title.","UNITED KINGDOM/UK",NA,"LONDON","21 - 30 years","21 - 30 years","College degree","Woman","White"
"35-44","media and digital","SELF-EMPLOYED WRITER","",45000,20000,NA,"","I'm a freelancer, I pay myself a salary and take disbursements on top of that.","UNITED STATES","Texas","AUSTIN","11 - 20 years","11 - 20 years","College degree","Woman","White"
"55-64","entertainment","CO-EXECUTIVE PRODUCER","(Senior TV Writer)",2e+05,50000,NA,"","Jobs usually can run 8-26 weeks, rarely more, so the annualized salary is misleading. Weekly salaries are high but also cover many weeks of free work chasing the next gig.  ","UNITED STATES","California","LOS ANGELES","31 - 40 years","31 - 40 years","College degree","Woman","White"
"45-54","computing or tech","SENIOR SOFTWARE ENGINEER","",67526,3600,NA,"","","UNITED KINGDOM/UK",NA,"OXFORD","21 - 30 years","11 - 20 years","Master's degree","Man","White"
"25-34","recruitment or hr","LEARNING AND DEVELOPMENT MANAGER","Basically training, recruiting, onboarding and off boarding ",45000,5000,NA,"","","UNITED STATES","North Carolina","WILMINGTON","5-7 years","2 - 4 years","College degree","Woman","White"
"25-34","nonprofits","DIGITAL PRODUCER","I write blog articles and social media copy, and I produce podcasts. I also manage the occasional project.",54000,0,NA,"","","UNITED STATES","Minnesota","ST PAUL","5-7 years","5-7 years","College degree","Woman","White"
"25-34","nonprofits","MEMBERSHIP & TRAINING COORDINATOR","(membership-based organization that provides training & certification for professionals in our field)",47000,0,NA,"","","UNITED STATES","Iowa","DES MOINES","5-7 years","5-7 years","Master's degree","Woman","White"
"25-34","marketing, advertising and pr","COMMUNICATIONS SPECIALIST","",77000,1500,NA,"","","CANADA",NA,"TORONTO","11 - 20 years","5-7 years","College degree","Woman","Another option not listed here or prefer not to answer"
"45-54","education (higher education)","MARKETING & COMMUNICATIONS WRITER","",53000,0,NA,"","","UNITED STATES","Texas","DALLAS","31 - 40 years","21 - 30 years","Master's degree","Woman","White"
"25-34","education (higher education)","VISITING ASSISTANT IN RESEARCH","",60000,0,NA,"","","UNITED STATES","Florida","TALLAHASSEE","2 - 4 years","1 year or less","PhD","Woman","White"
"35-44","recruitment or hr","PROJECT MANAGER","",125000,12000,NA,"","","UNITED STATES","North Carolina","CHARLOTTE","11 - 20 years","11 - 20 years","College degree","Woman","White"
"18-24","computing or tech","JUNIOR SOFTWARE DEVELOPER","",49400,NA,NA,"","","UNITED STATES","Pennsylvania","MEADVILLE","2 - 4 years","2 - 4 years","College degree","Woman","White"
"35-44","education (higher education)","IT SUPPORT TECHNICIAN","",25000,NA,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","11 - 20 years","11 - 20 years","Some college","Man","Black or African American"
"35-44","computing or tech","PORTING AGENT","Port phone numbers from one carrier to another",60000,5000,NA,"","","UNITED STATES","Georgia","ATLANTA","21 - 30 years","2 - 4 years","Some college","Man","Hispanic, Latino, or Spanish origin"
"25-34","computing or tech","PC SUPPORT TECH 2","",58000,0,NA,"","","UNITED STATES","Washington","SEATTLE","5-7 years","5-7 years","High School","Man","White"
"35-44","law","CORPORATE COUNSEL","",130000,13000,NA,"","","UNITED STATES","Illinois","LISLE","8 - 10 years","5-7 years","Professional degree (MD, JD, etc.)","Man","White"
