age,industry,title,context,salary,benefits,currency,currency-other,income_context,country,us_state,city,exp_total,exp_field,education,gender,race,,,
35-44,Insurance,IT Team Lead,,"88,000",5000,USD,,,US,New Hampshire,Concord,8 - 10 years,8 - 10 years,College degree,Man,White,,,
35-44,Computing or Tech,Senior UI developer ,Software developer with focus on the front end.,"65,790",600,GBP,,"There is usually an annual bonus, but it's not guaranteed, and the amount varies. £600 is typical. Everyone gets the same amount, irrespective of salary level or job title.",UK,,London,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
35-44,Media & Digital,Self-employed writer,,"45,000",20000,USD,,"I'm a freelancer, I pay myself a salary and take disbursements on top of that.",USA,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
55-64,Entertainment,Co-Executive Producer,(Senior TV Writer),200000,50000,CAD,,"Jobs usually can run 8-26 weeks, rarely more, so the annualized salary is misleading. Weekly salaries are high but also cover many weeks of free work chasing the next gig.  ",US,California,Los Angeles,31 - 40 years,31 - 40 years,College degree,Woman,White,,,
45-54,Computing or Tech,Senior Software Engineer,,"67,526",3600,GBP,,,United Kindom,,Oxford,21 - 30 years,11 - 20 years,Master's degree,Man,White,,,
25-34,Recruitment or HR,Learning and development manager,"Basically training, recruiting, onboarding and off boarding ",45000,5000,USD,,,USA,North Carolina,Wilmington,5-7 years,2 - 4 years,College degree,Woman,White,,,
25-34,Nonprofits,Digital Producer,"I write blog articles and social media copy, and I produce podcasts. I also manage the occasional project.",54000,0,USD,,,U.S.A.,Minnesota,St. Paul,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Nonprofits,Membership & Training Coordinator,(membership-based organization that provides training & certification for professionals in our field),"47,000",0,USD,,,USA,Iowa,Des Moines,5-7 years,5-7 years,Master's degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",Communications Specialist,,"77,000",1500,CAD,,,Canada,,Toronto,11 - 20 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer,,,
45-54,Education (Higher Education),marketing & communications writer,,53000,0,USD,,,United States,Texas,Dallas,31 - 40 years,21 - 30 years,Master's degree,Woman,White,,,
25-34,Education (Higher Education),Visiting Assistant in Research,,"60,000",0,USD,,,United States,Florida,Tallahassee,2 - 4 years,1 year or less,PhD,Woman,White,,,
35-44,Recruitment or HR,Project Manager,,125000,12000,USD,,,USA,North Carolina,Charlotte,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
18-24,Computing or Tech,Junior Software Developer,,"49,400",NA,USD,,,USA,Pennsylvania,Meadville,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Education (Higher Education),IT Support Technician,,"25,000",NA,GBP,,,UK,,London,11 - 20 years,11 - 20 years,Some college,Man,Black or African American,,,
35-44,Computing or Tech,Porting Agent,Port phone numbers from one carrier to another,60000,5000,USD,,,United States,Georgia,Atlanta,21 - 30 years,2 - 4 years,Some college,Man,"Hispanic, Latino, or Spanish origin",,,
25-34,Computing or Tech,PC support Tech 2,,58000,0,USD,,,United States of america,Washington,Seattle,5-7 years,5-7 years,High School,Man,White,,,
35-44,Law,Corporate Counsel,,"130,000",13000,USD,,,United States,Illinois,Lisle,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White,,,
25-34,Computing or Tech,Software Engineer,Senior Software Engineer,"120,000",10000,USD,,I'm working in a green energy focused startup so my total compensation is less than my previous job. ,US,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Man,"Hispanic, Latino, or Spanish origin",,,
25-34,Education (Higher Education),Chief of Staff,To the President,"140,000",NA,USD,,,USA,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
18-24,Engineering or Manufacturing,"Product Engineer, Robotics and Sensors ",,"100,000",0,USD,,"Eligible for bonus but haven't yet received, also have stock options ",USA,Massachusetts,Cambridge ,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, Black or African American",,,
18-24,Government and Public Administration,Office Operations Associate,,"32,000",NA,USD,,,USA,Wisconsin,Madison,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
45-54,Education (Higher Education),Postdoctoral Research Fellow,This is my first position in academia since getting my PhD,"52,000",0,USD,,,USA,Indiana,Bloomington,31 - 40 years,11 - 20 years,PhD,Woman,White,,,
35-44,Nonprofits,Director of Development,,"68,000",0,USD,,,US,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Government and Public Administration,E-learning Specialist,,60000,1200,USD,,,USA,Florida,Pensacola ,8 - 10 years,5-7 years,Master's degree,Woman,White,,,
35-44,Education (Primary/Secondary),Teacher,,69770,0,USD,,,US,Ohio,Cincinnati,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Computing or Tech,Staff Site Reliability Engineer,,187500,15000,USD,,,US,Pennsylvania,Philadelphia,21 - 30 years,5-7 years,High School,Man,White,,,
35-44,Utilities & Telecommunications,Accounting Manager,,"113,000",20000,USD,,,U.S.,Washington,Seattle,11 - 20 years,8 - 10 years,College degree,Man,White,,,
25-34,Art & Design,Exhibitions Manager, I work for an art museum,"81,000",0,AUD/NZD,,,New Zealand,,Wellington,8 - 10 years,5-7 years,College degree,Woman,White,,,
25-34,Computing or Tech,Sr. Operations Manager,,"360,000",NA,USD,,,U.S.,New York,New York,8 - 10 years,5-7 years,College degree,Woman,White,,,
25-34,Government and Public Administration,Training & development specialist ,,"41,000",0,USD,,,United States ,Tennessee,Nashville ,5-7 years,5-7 years,Master's degree,Woman,White,,,
25-34,Pharma,Project Specialist,,"62,000",NA,USD,,,USA,Massachusetts,Cambridge,2 - 4 years,1 year or less,College degree,Woman,White,,,
45-54,Insurance,Purchasing Card Program Administrator,,"63,000",8000,USD,,,USA,Virginia,Richmond,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Art & Design,Assistant Curator ,,"58,500",NA,USD,,,USA ,New York,New York,8 - 10 years,5-7 years,College degree,Woman,Black or African American,,,
45-54,Health care,Statistical Programmer II,,"87,000",NA,USD,,,U.S.A,Michigan,Ypsilanti,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
18-24,Food Service,Line Server,,"21,000",0,USD,,,US,Pennsylvania,Dallas,2 - 4 years,31 - 40 years,Some college,,White,,,
25-34,Education (Higher Education),Annual Giving Manager,,"65,000",NA,USD,,,USA,Maryland,Baltimore,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Nonprofits,Assistant director ,,"37,000",0,USD,,,United States,New Jersey,Vernon,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",Campaign Manager,,"540,000",NA,USD,,,USA,Colorado,Denver,8 - 10 years,8 - 10 years,College degree,Woman,"Black or African American, Hispanic, Latino, or Spanish origin",,,
35-44,Nonprofits,Director of Development,,57500,0,USD,,,United States,Wisconsin,Milwaukee,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Nonprofits,Program Coordinator,,"46,725",NA,USD,,,USA,New York,New York,8 - 10 years,5-7 years,Master's degree,Woman,White,,,
35-44,Education (Primary/Secondary),Substitute teacher,,"26,000",0,USD,,,USA,Ohio,Dayton,11 - 20 years,5-7 years,College degree,Woman,White,,,
35-44,Government and Public Administration,Environmental specialist ,,56000,0,USD,,,Usa,Ohio,Dayton,11 - 20 years,5-7 years,College degree,Man,,,,
35-44,Paid student intern in Tech,Intern software developer,,"40,000",0,CAD,,,Canada,,Toronto,1 year or less,1 year or less,Some college,Woman,Asian or Asian American,,,
35-44,Government and Public Administration,Manager of community and family services,Children's librarian,70000,700,CAD,,,Canada,,Montreal,5-7 years,5-7 years,Master's degree,Woman,White,,,
45-54,Engineering or Manufacturing,Engineering Manager I,,"86,382",0,USD,,,United States,Utah,Orem,21 - 30 years,21 - 30 years,Master's degree,Man,White,,,
35-44,Education (Higher Education),Professor,,"139,000",NA,USD,,,united states,Illinois,NA,11 - 20 years,11 - 20 years,PhD,Woman,White,,,
25-34,"Accounting, Banking & Finance",Human Resources Manager ,,86600,2500,USD,,,United States,Missouri,Joplin,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Education (Higher Education),Field Station Director/Assistant Research Scientist,"I run an independent research program, and a facility, manage a team of 10-20 depending on the time of year. ","70,000",0,USD,,,United States,Illinois,"Peoria, IL",2 - 4 years,2 - 4 years,PhD,Woman,White,,,
25-34,Hospitality & Events,Facilities Manager,,34000,0,GBP,,,Uk,,Liverpool ,5-7 years,2 - 4 years,College degree,Woman,White,,,
25-34,Engineering or Manufacturing,Staff Geologist,,"57,636",0,USD,,,US,Georgia,Atlanta,2 - 4 years,2 - 4 years,Master's degree,Woman,White,,,
45-54,Computing or Tech,Master Trainer,,"117,000",NA,USD,,,US,Washington,Seattle,21 - 30 years,21 - 30 years,College degree,Man,White,,,
25-34,Engineering or Manufacturing,Project Engineer,,95000,15000,USD,,,usa,Pennsylvania,West Chester,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Education (Higher Education),Librarian,,"46,000",0,USD,,,USA,Utah,Orem,8 - 10 years,5-7 years,Master's degree,Woman,White,,,
